ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
110400;Büttenen 1;L;Grellingen;BL;6.5;0.5;1861;1999;47.44280768;7.59348303;im Normalbetrieb;Birs;
110450;Dornachbrugg;L;Dornach;SO;20.0;1.54;1996;1996;47.48901753;7.6074171;im Normalbetrieb;Birs;
110475;Neuewelt;L;Münchenstein;BL;17.5;1.05;1998;1998;47.52578086;7.62174126;im Normalbetrieb;Birs;
110490;Am. de dotation du Kembs 1;L;Barrage de Kembs;;27.0;3.15;1966;1966;47.61947495;7.57032158;im Normalbetrieb;Rhin;
110495;Am. de dotation du Kembs 2;L;Barrage de Kembs;;90.0;11.15;2016;-1;47.61965691;7.56845982;im Normalbetrieb;Rhin;
110500;Kembs;L;Kembs, Loechle;;1400.0;157.5;1932;1983;47.65495572;7.51943098;im Normalbetrieb;Rhin;
200100;Grimsel 2;P;Grimsel, Chessituren;BE;100.0;382.0;1981;1981;46.56806638;8.31932594;im Normalbetrieb;Grimselsee, Oberaarsee;
200200;Grimsel 1-Oberaarsee;S;Grimsel, Sommerloch u.Hospiz;BE;8.0;34.0;1954;2006;46.57533239;8.33353353;im Normalbetrieb;Oberaar, Oberaarsee, Truebenbach, Truebtensee;
200300;Grimsel 1-Grimselsee;S;Grimsel, Sommerloch, u.Hospiz;BE;20.2;26.5;1974;2007;46.57533239;8.33353353;im Normalbetrieb;Aare, Grimselsee;
200400;Handeck 1;S;Handegg;BE;10.5;48.0;1932;1932;46.61682566;8.3075867;im Normalbetrieb;Aare, Bächlisbach, Gelmerbach, Gelmersee, Grimselsee, Grubenbach, obere Fassung;
200500;Handeck 2;S;Handegg;BE;57.3;215.0;1950;1958;46.61469667;8.30363594;im Normalbetrieb;Aare, Aerlenbach, Grubenbach, untere Fassung, Mattenalp (Staubecken), Räterichsbodensee, Ürbachwasser;
200700;Handeck 3 - Diagonalpumpe;U;Handegg;BE;0.0;0.0;1976;1976;46.61569009;8.30312962;stillgelegt;Aare, Gelmerbach, Gelmersee, Grimselsee, Räterichsbodensee;
200740;Kraftwerk Hostetbach AG;L;Guttannen, Blatti;BE;0.4;1.25;2016;-1;46.66552401;8.29177442;im Normalbetrieb;Hostettbach;
200750;Innertkirchen 3;L;Innertkirchen, Underürbach;BE;2.5;3.28;2016;-1;46.69672742;8.23120771;im Normalbetrieb;Ürbachwasser;
200800;Innertkirchen 1;S;Innertkirchen;BE;69.0;370.0;1943;2007;46.70108204;8.23885567;im Normalbetrieb;Aare, Benzlauibach, Gelmersee, Grimselsee, Hostettbach, Räterichsbodensee;
200900;Gental;S;Underi-Furen, Innertkirchen;BE;3.0;9.5;1961;1961;46.72718562;8.3336972;im Normalbetrieb;Engstlenbach, Engstlensee, Gentalwasser, Henglibach, Moosbach, Wunderbrunnen;
201000;Gental;S;Underi-Furen, Innertkirchen;BE;0.0;0.0;1961;1961;46.72718562;8.3336972;im Normalbetrieb;Gadmerwasser;
201200;Hopflauenen-Leimboden;L;Hopflauenen;BE;2.2;5.8;1967;1967;46.71510795;8.27751692;im Normalbetrieb;Gentalwasser;
201300;Innertkirchen 2;S;Innertkirchen;BE;29.5;54.2;1967;1974;46.70854804;8.22601941;im Normalbetrieb;Gadmerwasser, Gentalwasser, Räterichsbodensee;
201400;Meiringen 2;L;Meiringen, Haselholz;BE;0.36;1.5;1950;1950;46.7317764;8.19665928;im Normalbetrieb;Alpbach, Bidmi-Quellen;
201500;Meiringen 1;L;Meiringen;BE;0.6;0.93;1889;1946;46.72874839;8.19203785;im Normalbetrieb;Alpbach, Dorfbach/Goldernbach, Milibach;
201600;Schattenhalb 2;L;Schattenhalb;BE;1.0;1.6;1927;1927;46.71512998;8.18360783;stillgelegt;Reichenbach;
201700;Schattenhalb 1+;L;Schattenhalb;BE;1.3;2.72;2017;-1;46.71925832;8.18510364;im Bau;Rychenbach;
201750;Schattenhalb 3;L;Schattenhalb;BE;2.8;9.7;2010;-1;46.71944164;8.18458296;im Normalbetrieb;Reichenbach;
201800;Giessbach;L;Brienz;BE;0.3;0.9;1949;2005;46.73443775;8.01888782;im Normalbetrieb;Giessbach;
201900;Grindelwald;S;Grindelwald;BE;0.4;1.4;1960;1960;46.62641456;8.05024175;im Normalbetrieb;Bachsee, Mühlebach;
202000;Burglauenen-Lütschental;L;Lütschental;BE;8.5;11.9;1908;2011;46.63732337;7.95450367;im Normalbetrieb;Schwarze Lütschine;
202100;Stechelberg;L;Lauterbrunnen, Stechelberg;BE;2.0;4.3;1905;1979;46.54472154;7.89990599;im Normalbetrieb;Sefinen-Lütschine;
